0,sceau
1,toit
2,noix
3,mat
4,roi
5,lion
6,chat
7,cou
8,feu
9,pied
10,tasse
11,tête
12,tonneau
13,diamant
14,taureau
15,étoile
16,donjon
17,ticket
18,dauphin
19,taupe
20,noce
21,natte
22,naine
23,cinéma
24,noir
25,nouille
26,niche
27,nuque
28,nef
29,nappe
30,maison
31,mouton
32,moine
33,maman
34,marin
35,moulin
36,mouche
37,Mickey
38,mauve
39,myope
40,rose
41,râteau
42,reine
43,rame
44,rire
45,rouleau
46,rocher
47,requin
48,ravin
49,robot
50,lasso
51,lutin
52,lune
53,lama
54,lard
55,lilas
56,luge
57,lac
58,louve
59,lapin
60,chaise
61,château
62,chaîne
63,chameau
64,chariot
65,chalet
66,juge
67,chèque
68,cheveu
69,chapeau
70,caisse
71,couteau
72,canon
73,camion
74,car
75,clou
76,cage
77,coca
78,café
79,cape
80,fusée
81,fête
82,vigne
83,femme
84,forêt
85,filet
86,vache
87,phoque
88,fève
89,vapeur
90,poisson
91,bâton
92,bonnet
93,pomme
94,poire
95,pelle
96,pêche
97,bague
98,bouffon
99,papa
00,ciseau
01,assiette
02,cygne
03,sumo
04,cerf
05,salon
06,singe
07,sac
08,savon
09,sapin
